"id","player_api_id","player_name","player_position"
"1","182917","David De Gea","Goalkeeper"
"2","109060","Sergio Romero","Goalkeeper"
"3","32657","Victor Valdes","Goalkeeper"
"4","186137","Phil Jones","Defender"
"5","161035","Marcos Rojo","Defender"
"6","165823","Chris Smalling","Defender"
"7","161012","Daley Blind","Defender"
"8","362694","Luke Shaw","Defender"
"9","465614","Guillermo Varela","Defender"
"10","46820","Matteo Darmian","Defender"
"11","303824","Memphis Depay","Midfielder"
"12","41468","Juan Mata","Midfielder"
"13","34944","Michael Carrick","Midfielder"
"14","23354","Ashley Young","Midfielder"
"15","164676","Ander Herrera","Midfielder"
"16","35327","Antonio Valencia","Midfielder"
"17","39618","Marouane Fellaini","Midfielder"
"18","46893","Morgan Schneiderlin","Midfielder"
"19","30872","Bastian Schweinsteiger","Midfielder"
"20","299215","Jesse Lingard","Midfielder"
"21","413557","Anthony Martial","Forward"
"22","30829","Wayne Rooney","Forward"
"23","532741","James Wilson","Forward"
