"id","player_api_id","player_name","player_position","player_number"
"1","31432","Joe Hart","Goalkeeper","1"
"2","39027","Vincent Kompany","Defender","4"
"3","30509","Pablo Zabaleta","Defender","5"
"4","156551","Eliaquim Mangala","Defender","20"
"5","31291","Gael Clichy","Defender","22"
"6","246575","Raheem Sterling","Midfielder","7"
"7","33991","Jesus Navas","Midfielder","15"
"8","169200","Kevin De Bruyne","Midfielder","17"
"9","37459","David Silva","Midfielder","21"
"10","36615","Yaya Toure","Midfielder","42"
"11","37412","Sergio Aguero","Forward ","10"
"12","28955","Wilfredo Caballero","Goalkeeper","13"
"14","26111","Bacary Sagna","Defender","3"
"15","16351","Aleksandar Kolarov","Defender","11"
"16","30459","Martin Demichelis","Defender","26"
"17","101103","Fernando","Midfielder","6"
"18","26181","Samir Nasri","Midfielder","8"
"19","78324","Fabian Delph","Midfielder","18"
"20","40196","Fernandinho","Midfielder","25"
"22","143365","Wilfried Bony","Forward","14"
"23","643709","Kelechi Iheanacho","Forward","72"
